date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:57:50	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2020%20Nov%202024%2006:57:50%20GMT	https://web.archive.org/web/20071008034150im_/http://www.specialistsmod.net/shared/manual.png	D:/GIT%20Storage/The-Specialists-Archive/specialistsmod.net/specialistsmod.net/web.archive.org/web/20071008034150im_/http_/www.specialistsmod.net/shared/manual.2d.delayed	(from https://web.archive.org/web/20071008034150/http://www.specialistsmod.net/)
01:57:50	4365/4365	U-----	200	untouched ('')	image/png	date:Wed,%2020%20Nov%202024%2006:53:35%20GMT	https://web.archive.org/web/20071108060743im_/http://www.specialistsmod.net/shared/manual.png	D:/GIT%20Storage/The-Specialists-Archive/specialistsmod.net/specialistsmod.net/web.archive.org/web/20071108060743im_/http_/www.specialistsmod.net/shared/manual.png	(from https://web.archive.org/web/20071008034150/http://www.specialistsmod.net/)
01:57:50	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2020%20Nov%202024%2006:57:51%20GMT	https://web.archive.org/web/20071008034150im_/http://www.specialistsmod.net/shared/faq.png	D:/GIT%20Storage/The-Specialists-Archive/specialistsmod.net/specialistsmod.net/web.archive.org/web/20071008034150im_/http_/www.specialistsmod.net/shared/faq.2f.delayed	(from https://web.archive.org/web/20071008034150/http://www.specialistsmod.net/)
01:57:51	3136/3136	U-----	200	untouched ('')	image/png	date:Wed,%2020%20Nov%202024%2006:53:36%20GMT	https://web.archive.org/web/20071108060533im_/http://www.specialistsmod.net/shared/faq.png	D:/GIT%20Storage/The-Specialists-Archive/specialistsmod.net/specialistsmod.net/web.archive.org/web/20071108060533im_/http_/www.specialistsmod.net/shared/faq.png	(from https://web.archive.org/web/20071008034150/http://www.specialistsmod.net/)
01:57:51	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2020%20Nov%202024%2006:57:51%20GMT	https://web.archive.org/web/20071008034150im_/http://www.specialistsmod.net/shared/forums.png	D:/GIT%20Storage/The-Specialists-Archive/specialistsmod.net/specialistsmod.net/web.archive.org/web/20071008034150im_/http_/www.specialistsmod.net/shared/forums.31.delayed	(from https://web.archive.org/web/20071008034150/http://www.specialistsmod.net/)
01:57:52	4472/4472	U-----	200	untouched ('')	image/png	date:Wed,%2020%20Nov%202024%2006:53:37%20GMT	https://web.archive.org/web/20071108060939im_/http://www.specialistsmod.net/shared/forums.png	D:/GIT%20Storage/The-Specialists-Archive/specialistsmod.net/specialistsmod.net/web.archive.org/web/20071108060939im_/http_/www.specialistsmod.net/shared/forums.png	(from https://web.archive.org/web/20071008034150/http://www.specialistsmod.net/)
01:57:52	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2020%20Nov%202024%2006:57:52%20GMT	https://web.archive.org/web/20071008034150im_/http://www.specialistsmod.net/shared/header.jpg	D:/GIT%20Storage/The-Specialists-Archive/specialistsmod.net/specialistsmod.net/web.archive.org/web/20071008034150im_/http_/www.specialistsmod.net/shared/header.33.delayed	(from https://web.archive.org/web/20071008034150/http://www.specialistsmod.net/)
01:57:52	25899/25899	U-----	200	untouched ('')	image/jpeg	date:Wed,%2020%20Nov%202024%2006:53:38%20GMT	https://web.archive.org/web/20071108062030im_/http://www.specialistsmod.net/shared/header.jpg	D:/GIT%20Storage/The-Specialists-Archive/specialistsmod.net/specialistsmod.net/web.archive.org/web/20071108062030im_/http_/www.specialistsmod.net/shared/header.jpg	(from https://web.archive.org/web/20071008034150/http://www.specialistsmod.net/)
01:57:53	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2020%20Nov%202024%2006:57:53%20GMT	https://web.archive.org/web/20071008034150im_/http://www.specialistsmod.net/shared/grunge5.jpg	D:/GIT%20Storage/The-Specialists-Archive/specialistsmod.net/specialistsmod.net/web.archive.org/web/20071008034150im_/http_/www.specialistsmod.net/shared/grunge5.35.delayed	(from https://web.archive.org/web/20071008034150/http://www.specialistsmod.net/)
01:57:53	12185/12185	U-----	200	untouched ('')	image/jpeg	date:Wed,%2020%20Nov%202024%2006:53:39%20GMT	https://web.archive.org/web/20071108061012im_/http://www.specialistsmod.net/shared/grunge5.jpg	D:/GIT%20Storage/The-Specialists-Archive/specialistsmod.net/specialistsmod.net/web.archive.org/web/20071108061012im_/http_/www.specialistsmod.net/shared/grunge5.jpg	(from https://web.archive.org/web/20071008034150/http://www.specialistsmod.net/)
01:57:53	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2020%20Nov%202024%2006:57:53%20GMT	https://web.archive.org/web/20071008034150im_/http://www.specialistsmod.net/banner.gif	D:/GIT%20Storage/The-Specialists-Archive/specialistsmod.net/specialistsmod.net/web.archive.org/web/20071008034150im_/http_/www.specialistsmod.net/banner.37.delayed	(from https://web.archive.org/web/20071008034150/http://www.specialistsmod.net/)
01:57:53	26186/26186	U-----	200	untouched ('')	image/gif	date:Wed,%2020%20Nov%202024%2006:53:39%20GMT	https://web.archive.org/web/20071217020106im_/http://specialistsmod.net/banner.gif	D:/GIT%20Storage/The-Specialists-Archive/specialistsmod.net/specialistsmod.net/web.archive.org/web/20071217020106im_/http_/specialistsmod.net/banner.gif	(from https://web.archive.org/web/20071008034150/http://www.specialistsmod.net/)
01:57:53	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2020%20Nov%202024%2006:57:54%20GMT	https://web.archive.org/web/20071008034150/http://www.specialistsmod.net/videos/videos.html	D:/GIT%20Storage/The-Specialists-Archive/specialistsmod.net/specialistsmod.net/web.archive.org/web/20071008034150/http_/www.specialistsmod.net/videos/videos.39.delayed	(from https://web.archive.org/web/20071008034150/http://www.specialistsmod.net/)
